Main Category,Main Religion,Substrain/Denomination
Abrahamic Religions,Christianity,Catholicism
Abrahamic Religions,Christianity,Eastern Orthodoxy
Abrahamic Religions,Christianity,Protestantism
Abrahamic Religions,Christianity,Anglicanism
Abrahamic Religions,Christianity,Baptist
Abrahamic Religions,Christianity,Lutheran
Abrahamic Religions,Christianity,Methodist
Abrahamic Religions,Christianity,Presbyterian
Abrahamic Religions,Christianity,Pentecostal
Abrahamic Religions,Christianity,Seventh-day Adventist
Abrahamic Religions,Christianity,Jehovah's Witnesses
Abrahamic Religions,Christianity,Latter-day Saints (Mormonism)
Abrahamic Religions,Christianity,Quakers
Abrahamic Religions,Christianity,Christian Science
Abrahamic Religions,Christianity,Unitarianism
Abrahamic Religions,Islam,Sunni Islam
Abrahamic Religions,Islam,Shia Islam
Abrahamic Religions,Islam,Sufism
Abrahamic Religions,Islam,Ahmadiyya
Abrahamic Religions,Islam,Nation of Islam
Abrahamic Religions,Judaism,Orthodox Judaism
Abrahamic Religions,Judaism,Conservative Judaism
Abrahamic Religions,Judaism,Reform Judaism
Abrahamic Religions,Judaism,Reconstructionist Judaism
Abrahamic Religions,Judaism,Hasidic Judaism
Abrahamic Religions,Judaism,Karaite Judaism
Abrahamic Religions,Judaism,Samaritanism
Abrahamic Religions,Baháʼí Faith,
Abrahamic Religions,Rastafari,
Abrahamic Religions,Druzism,
Abrahamic Religions,Mandaeism,
Abrahamic Religions,Yazidism,
East Asian Religions,Taoism,
East Asian Religions,Confucianism,Neo-Confucianism
East Asian Religions,Confucianism,New Confucianism
East Asian Religions,Shinto,
East Asian Religions,Tenrikyo,
East Asian Religions,Korean Shamanism (Muism),
East Asian Religions,Yiguandao,
East Asian Religions,Weixinism,
East Asian Religions,Cao Dai,
East Asian Religions,Hoahaoism,
East Asian Religions,Jeungsanism,
Indian Religions,Hinduism,Vaishnavism
Indian Religions,Hinduism,Shaivism
Indian Religions,Hinduism,Shaktism
Indian Religions,Hinduism,Smartism
Indian Religions,Buddhism,Theravada Buddhism
Indian Religions,Buddhism,Mahayana Buddhism
Indian Religions,Buddhism,Vajrayana Buddhism
