Term	Mean	OrdinalClass	MajorityLabel	MajorityLabelRatio	NumberAnnotations	SetOfLabels
countrywide	2.33	2	2	0.666666666666667	6	2,3,2,2,3,2
haunt	-2.12	-2	-2	0.875	8	-2,-3,-2,-2,-2,-2,-2,-2
appeal	1.71	2	2	0.571428571428571	7	2,2,2,0,3,2,1
metastatic	-2.00	-2	-2	0.75	8	-2,-3,-2,-2,-2,-2,-2,-1
guest speaker	2.29	2	2	0.714285714285714	7	2,2,3,3,2,2,2
disabled	0.78	1	1	0.444444444444444	9	-1,1,1,0,0,1,2,1,2
demure	1.75	2	2	0.75	8	2,2,1,1,2,2,2,2
fine art	2.09	2	2	0.909090909090909	11	2,2,2,2,2,2,2,2,2,2,3
counteraccusation	-1.60	-2	-2	0.7	10	-2,-2,-2,-2,-2,-2,-1,-2,-1,0
exult	2.67	3	3	0.666666666666667	6	2,2,3,3,3,3
unconfidently	-1.50	-2	-1	0.583333333333333	12	-1,-1,-1,-1,-1,-1,-2,-1,-2,-2,-3,-2
spin out	-1.78	-2	-2	0.777777777777778	9	-2,-2,-2,-2,-2,-2,-2,-1,-1
nemeses	-1.78	-2	-2	0.888888888888889	9	-2,-2,-2,-2,-2,-2,0,-2,-2
voodoo	-2.12	-2	-2	0.875	8	-2,-2,-2,-2,-2,-2,-3,-2
ache	-1.14	-1	-1	0.857142857142857	7	-1,-1,-2,-1,-1,-1,-1
do out	-0.29	0	0	0.714285714285714	7	0,0,-1,0,0,-1,0
swifter	0.82	1	0	0.545454545454545	11	0,2,0,0,0,0,2,0,1,2,2
rival	-1.62	-2	-2	0.625	8	-1,-2,-2,-2,-1,-2,-2,-1
capped	-0.67	-1	0	0.555555555555556	9	-2,0,0,-1,0,-1,0,0,-2
spinsterhood	-1.71	-2	-2	0.714285714285714	7	-1,-2,-2,-2,-2,-2,-1
foreclosable	-0.62	-1	0	0.625	8	0,0,0,-1,0,0,-2,-2
malevolently	-3.00	-3	-3	1	9	-3,-3,-3,-3,-3,-3,-3,-3,-3
cretinous	-2.80	-3	-3	0.9	10	-3,-3,-3,-3,-3,-3,-3,-3,-1,-3
blood red	-1.50	-2	-2	0.5	6	-1,-2,-1,-1,-2,-2
arrest warrant	-2.25	-2	-2	0.75	8	-2,-2,-2,-2,-2,-3,-2,-3
contrite	2.64	3	3	0.636363636363636	11	3,3,3,3,3,3,3,2,2,2,2
disaster	-2.00	-2	-2	1	8	-2,-2,-2,-2,-2,-2,-2,-2
hubris	-2.50	-3	-3	0.5	10	-3,-2,-3,-2,-2,-2,-2,-3,-3,-3
bloodstain	-2.50	-3	-3	0.5	8	-2,-2,-3,-3,-2,-3,-3,-2
dolefully	-1.57	-2	-2	0.571428571428571	7	-2,-2,-2,-1,-1,-1,-2
slow progress	-0.71	-1	-1	0.857142857142857	7	-1,-1,1,-1,-1,-1,-1
motorhome	1.43	1	2	0.571428571428571	7	0,2,2,2,2,1,1
bloom	2.88	3	3	0.875	8	3,2,3,3,3,3,3,3
misgovern	-2.90	-3	-3	0.9	10	-3,-3,-3,-2,-3,-3,-3,-3,-3,-3
medicare	2.67	3	3	0.666666666666667	6	3,3,2,3,2,3
nonalcoholic	1.86	2	2	0.857142857142857	7	2,2,2,2,2,2,1
concertgoer	2.88	3	3	0.875	8	3,3,3,3,3,3,2,3
hotel	2.20	2	2	0.8	10	2,2,3,2,2,3,2,2,2,2
tahiti	2.38	2	3	0.5	8	3,1,2,3,2,3,3,2
chucker	-0.86	-1	0	0.428571428571429	7	-1,-1,0,0,0,-2,-2
shoot off	-1.00	-1	-1	1	7	-1,-1,-1,-1,-1,-1,-1
public library	2.57	3	3	0.571428571428571	7	3,2,2,3,3,3,2
proneness	-0.50	-1	-1	0.375	8	-1,-1,0,1,-1,0,0,-2
meditation	3.00	3	3	1	7	3,3,3,3,3,3,3
staleness	-1.71	-2	-2	0.857142857142857	7	-2,-2,-2,0,-2,-2,-2
unhappiness	-2.00	-2	-2	1	8	-2,-2,-2,-2,-2,-2,-2,-2
translation	1.00	1	1	0.5	8	0,1,2,1,0,1,1,2
watchfulness	2.11	2	2	0.555555555555556	9	3,2,3,3,2,2,2,0,2
christmas present	3.00	3	3	1	7	3,3,3,3,3,3,3
multifunctional	1.09	1	2	0.363636363636364	11	0,1,0,2,0,2,2,2,1,1,1
smasher	-1.88	-2	-2	0.625	8	-1,-2,-2,-2,-2,-1,-3,-2
dog poop	-2.71	-3	-3	0.714285714285714	7	-3,-3,-3,-3,-3,-2,-2
motivated	1.75	2	2	0.5	8	2,0,2,0,3,3,2,2
off balance	-1.25	-1	-1	0.75	8	-1,-2,-1,-1,-1,-2,-1,-1
valorous	2.75	3	3	0.75	8	3,3,3,2,3,3,2,3
defeat	-2.00	-2	-2	1	9	-2,-2,-2,-2,-2,-2,-2,-2,-2
hand wringing	-1.36	-1	-2	0.545454545454545	11	-2,-1,-2,-2,-2,-2,-2,0,-1,-1,0
babysitter	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,2,3,3
whirlpool	-1.10	-1	-2	0.5	10	-2,0,-2,-2,-2,0,0,-2,-1,0
bad feeling	-1.38	-1	-1	0.625	8	-2,-2,-2,-1,-1,-1,-1,-1
shirk	-2.14	-2	-2	0.857142857142857	7	-2,-2,-2,-2,-2,-3,-2
pigmy	-1.50	-2	-2	0.75	8	-2,0,-2,-2,-2,-2,0,-2
immature	-1.43	-1	-1	0.571428571428571	7	-2,-2,-1,-2,-1,-1,-1
antiparliamentary	-2.14	-2	-2	0.857142857142857	7	-2,-3,-2,-2,-2,-2,-2
war crime	-3.00	-3	-3	1	8	-3,-3,-3,-3,-3,-3,-3,-3
affordable	2.44	2	2	0.555555555555556	9	3,2,3,2,3,3,2,2,2
snot	-2.50	-3	-3	0.625	8	-3,-1,-3,-3,-3,-2,-2,-3
torture	-3.00	-3	-3	1	8	-3,-3,-3,-3,-3,-3,-3,-3
good example	2.60	3	3	0.6	5	3,2,3,2,3
illusiveness	-2.00	-2	-2	1	8	-2,-2,-2,-2,-2,-2,-2,-2
employability	1.09	1	2	0.545454545454545	11	0,0,2,2,0,0,0,2,2,2,2
stark	-1.62	-2	-2	0.625	8	-1,-2,-1,-2,-1,-2,-2,-2
fascinator	1.25	1	1	0.75	8	1,1,2,1,1,1,1,2
moot point	-0.25	0	0	0.75	8	0,0,0,-1,-1,0,0,0
backslapper	1.50	2	2	0.5	4	1,1,2,2
restrained	1.73	2	2	0.727272727272727	11	2,2,2,2,2,2,2,1,1,1,2
toilet bowl	-2.57	-3	-3	0.571428571428571	7	-2,-3,-2,-3,-3,-2,-3
the end	-1.86	-2	-2	0.714285714285714	7	-2,-2,-2,-2,0,-2,-3
unsystematic	-1.88	-2	-2	0.875	8	-2,-2,-2,-1,-2,-2,-2,-2
joyride	1.50	2	2	0.5	8	1,2,1,2,1,1,2,2
unscarred	0.88	1	1	0.875	8	1,1,1,0,1,1,1,1
yaaay	0.00	0	0	0.833333333333333	12	0,0,0,0,0,0,0,1,0,-1,0,0
rheumatic	-1.43	-1	-2	0.571428571428571	7	-2,0,-1,-2,-1,-2,-2
viewing	0.29	0	0	0.714285714285714	7	0,0,0,0,1,1,0
debtless	2.56	3	3	0.777777777777778	9	3,3,3,3,3,3,3,1,1
rustic	1.43	1	1	0.571428571428571	7	1,1,2,1,1,2,2
alerts	0.67	1	0	0.583333333333333	12	0,0,0,0,0,0,0,1,1,2,2,2
officiate	2.36	2	2	0.636363636363636	11	3,3,2,3,3,2,2,2,2,2,2
low income	-0.62	-1	0	0.5	8	-2,-1,0,0,-1,0,0,-1
swampy	-1.50	-2	-2	0.5	8	-2,-1,-2,-1,-1,-1,-2,-2
elementary school	2.67	3	3	0.666666666666667	6	3,3,3,3,2,2
representative democracy	2.67	3	3	0.666666666666667	9	3,2,3,3,3,2,2,3,3
demographer	1.60	2	2	0.6	10	3,0,2,2,2,2,2,1,0,2
pygmy	-2.00	-2	-2	1	6	-2,-2,-2,-2,-2,-2
castaway	-1.88	-2	-2	0.875	8	-2,-2,-2,-2,-2,-2,-2,-1
attractive	1.75	2	2	0.75	8	1,2,2,2,2,2,2,1
dreamlessness	-2.00	-2	-2	0.75	8	-3,-2,-2,-2,-2,-1,-2,-2
balefully	-2.25	-2	-2	0.75	8	-2,-3,-2,-2,-3,-2,-2,-2
feudist	-2.50	-3	-3	0.5	6	-2,-3,-2,-3,-3,-2
superstring	0.00	0	0	1	7	0,0,0,0,0,0,0
apprehension	-1.75	-2	-2	0.75	8	-2,-1,-2,-2,-2,-1,-2,-2
commercialize	-1.75	-2	-2	0.75	8	-2,-2,-2,-2,-1,-1,-2,-2
meadowland	1.67	2	2	0.777777777777778	9	2,2,1,2,2,2,0,2,2
ghostly	-2.00	-2	-2	1	9	-2,-2,-2,-2,-2,-2,-2,-2,-2
conservation	2.30	2	2	0.7	10	2,3,2,2,2,2,2,3,2,3
