Term	Mean	OrdinalClass	MajorityLabel	MajorityLabelRatio	NumberAnnotations	SetOfLabels
faithfulness	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
firefighter	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
thankfulness	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
impeccably	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
mercifulness	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
precision	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
scrupulously	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
antislavery	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
wholeness	3.00	3	3	1	7	3,3,3,3,3,3,3
true value	3.00	3	3	1	8	3,3,3,3,3,3,3,3
holy father	3.00	3	3	1	7	3,3,3,3,3,3,3
morals	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
life saver	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
unassailable	3.00	3	3	1	7	3,3,3,3,3,3,3
uprightness	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
selflessly	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
irreproachable	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
peace	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
trust	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
highly recommended	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
safety	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
equitableness	3.00	3	3	1	8	3,3,3,3,3,3,3,3
unimpeachable	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
irrefutability	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
truth	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
incorruptibility	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
reassuring	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
ring true	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
honest truth	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
importance	3.00	3	3	1	5	3,3,3,3,3
forgiver	3.00	3	3	1	8	3,3,3,3,3,3,3,3
stalwartness	3.00	3	3	1	8	3,3,3,3,3,3,3,3
loyalty	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
nondiscrimination	3.00	3	3	1	12	3,3,3,3,3,3,3,3,3,3,3,3
genuineness	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
mercy	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
family doctor	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
honor	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
fortitude	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
beneficence	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
altruistically	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
straight shooter	3.00	3	3	1	8	3,3,3,3,3,3,3,3
truthfulness	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
blameless	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
ethical	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
equality	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
charity	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
guileless	3.00	3	3	1	8	3,3,3,3,3,3,3,3
lifesaving	3.00	3	3	1	12	3,3,3,3,3,3,3,3,3,3,3,3
praiseworthy	3.00	3	3	1	12	3,3,3,3,3,3,3,3,3,3,3,3
verification	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
good person	3.00	3	3	1	12	3,3,3,3,3,3,3,3,3,3,3,3
taintless	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
vouch for	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
respected	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
justice	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
authenticity	3.00	3	3	1	11	3,3,3,3,3,3,3,3,3,3,3
veracity	3.00	3	3	1	8	3,3,3,3,3,3,3,3
magnanimousness	3.00	3	3	1	8	3,3,3,3,3,3,3,3
carefulness	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
trustworthiness	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
forthright	3.00	3	3	1	10	3,3,3,3,3,3,3,3,3,3
true blue	3.00	3	3	1	7	3,3,3,3,3,3,3
diligence	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
guiltlessness	3.00	3	3	1	8	3,3,3,3,3,3,3,3
candidness	2.92	3	3	0.916666666666667	12	3,3,3,3,3,3,3,3,3,3,2,3
dedication	2.92	3	3	0.916666666666667	12	3,3,3,3,3,3,3,3,3,3,3,2
fiduciary	2.92	3	3	0.916666666666667	12	3,3,3,3,3,3,3,3,2,3,3,3
responsible	2.92	3	3	0.916666666666667	12	3,3,3,3,3,3,3,3,3,3,2,3
assurance	2.92	3	3	0.916666666666667	12	2,3,3,3,3,3,3,3,3,3,3,3
incorruptible	2.92	3	3	0.916666666666667	12	3,3,2,3,3,3,3,3,3,3,3,3
charitableness	2.92	3	3	0.916666666666667	12	3,3,3,3,3,3,3,3,3,3,3,2
faith in	2.92	3	3	0.916666666666667	12	3,3,3,3,3,3,3,2,3,3,3,3
unfaltering	2.92	3	3	0.916666666666667	12	3,3,3,3,3,3,3,3,3,3,3,2
genuine	2.92	3	3	0.916666666666667	12	3,3,3,3,3,3,3,2,3,3,3,3
faith	2.92	3	3	0.941176470588235	85	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,1
steadfast	2.92	3	3	0.916666666666667	12	3,3,3,3,3,3,3,3,3,3,3,2
lifesaver	2.92	3	3	0.916666666666667	12	3,3,3,3,3,3,3,3,2,3,3,3
candor	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,3,3,3,2
conscientiousness	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,2,3,3,3
medical advice	2.91	3	3	0.909090909090909	11	3,3,3,3,2,3,3,3,3,3,3
forthrightly	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,2,3,3,3
unshakably	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,3,3,3,2
uncorruptable	2.91	3	3	0.935064935064935	77	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
conscientious	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,3,3,2,3
dedicated	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,2,3,3,3
equal opportunity	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,3,3,3,2
honored	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,2,3,3,3
benevolence	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,3,2,3,3
sanity	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,3,3,3,2
sincere	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,2,3,3,3
food safety	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,2,3,3,3
kindness	2.91	3	3	0.909090909090909	11	3,3,3,3,3,2,3,3,3,3,3
under oath	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,3,3,3,2
highly recommend	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,3,3,2,3
steadfastness	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,3,2,3,3
legitimacy	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,3,2,3,3
responsibility	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,3,2,3,3
blamelessness	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,2,3,3,3
saintlike	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,3,3,3,2
lawful	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,3,2,3,3
admirable	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,3,3,3,2
fair play	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,3,3,2,3
cooperative	2.91	3	3	0.909090909090909	11	3,3,3,3,3,3,3,2,3,3,3
trust in	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,3,2
first responder	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,3,2
timeliness	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,3,2
noninterference	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,2,3
dignity	2.90	3	3	0.9	10	3,3,3,3,3,3,3,2,3,3
forgiveness	2.90	3	3	0.9	10	3,3,3,3,3,3,3,2,3,3
lifeguard	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,3,2
rectitude	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,2,3
hero	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,3,2
honorableness	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,2,3
forthrightness	2.90	3	3	0.9	10	3,3,3,3,2,3,3,3,3,3
peacekeeping	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,3,2
be yourself	2.90	3	3	0.9	10	3,3,3,3,3,3,3,2,3,3
impeccable	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,3,2
irreproachably	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,2,3
unstained	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,3,2
honesty	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,2,3
true to	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,3,2
magnanimity	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,3,2
wholesomeness	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,3,2
paramedic	2.90	3	3	0.9	10	3,3,3,2,3,3,3,3,3,3
morality	2.90	3	3	0.9	10	3,3,3,3,3,2,3,3,3,3
safe return	2.90	3	3	0.9	10	3,3,2,3,3,3,3,3,3,3
estimable	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,3,2
irreproachableness	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,3,2
faultlessly	2.90	3	3	0.9	10	3,3,3,3,3,3,3,2,3,3
benevolent	2.90	3	3	0.9	10	3,3,3,3,3,3,3,2,3,3
fact	2.90	3	3	0.9	10	3,3,3,3,2,3,3,3,3,3
devotedness	2.90	3	3	0.9	10	3,3,3,3,3,3,3,2,3,3
selflessness	2.90	3	3	0.9	10	3,3,3,3,3,3,3,2,3,3
valiant	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,2,3
assure	2.90	3	3	0.9	10	3,2,3,3,3,3,3,3,3,3
trust with	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,2,3
wholesome	2.90	3	3	0.9	10	3,3,3,3,3,3,3,3,2,3
salvation	2.89	3	3	0.888888888888889	9	3,2,3,3,3,3,3,3,3
inculpability	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,3,3,2
reliably	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,3,3,2
kind	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,3,2,3
allegiant	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,3,3,2
invaluable	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,3,2,3
ethics	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,3,3,2
stateswoman	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,3,3,2
devotion	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,3,2,3
guilelessly	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,3,3,2
safe	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,3,3,2
faultless	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,3,2,3
safe place	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,3,3,2
incontestable	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,3,2,3
esteemed	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,3,2,3
laudable	2.89	3	3	0.888888888888889	9	3,2,3,3,3,3,3,3,3
confidence	2.89	3	3	0.888888888888889	9	3,3,3,2,3,3,3,3,3
comradeship	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,3,3,2
equity	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,2,3,3
crystal clear	2.89	3	3	0.888888888888889	9	3,2,3,3,3,3,3,3,3
untainted	2.89	3	3	0.888888888888889	9	3,3,3,3,3,3,3,2,3
