Term	Mean	OrdinalClass	MajorityLabel	MajorityLabelRatio	NumberAnnotations	SetOfLabels
fairy godmother	3.00	3	3	1	7	3,3,3,3,3,3,3
thankyoulord	3.00	3	3	1	6	3,3,3,3,3,3
new born	3.00	3	3	1	8	3,3,3,3,3,3,3,3
paramedic	3.00	3	3	1	7	3,3,3,3,3,3,3
peace sign	3.00	3	3	1	8	3,3,3,3,3,3,3,3
hair stylist	3.00	3	3	1	8	3,3,3,3,3,3,3,3
birthday cake	3.00	3	3	1	8	3,3,3,3,3,3,3,3
good person	3.00	3	3	1	8	3,3,3,3,3,3,3,3
empowerment	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
dinnertime	3.00	3	3	1	8	3,3,3,3,3,3,3,3
go well	3.00	3	3	1	7	3,3,3,3,3,3,3
social club	3.00	3	3	1	8	3,3,3,3,3,3,3,3
chatterer	3.00	3	3	1	8	3,3,3,3,3,3,3,3
true self	3.00	3	3	1	7	3,3,3,3,3,3,3
communicativeness	3.00	3	3	1	7	3,3,3,3,3,3,3
gospel music	3.00	3	3	1	6	3,3,3,3,3,3
communicatory	3.00	3	3	1	8	3,3,3,3,3,3,3,3
whatmakesmesmile	3.00	3	3	1	8	3,3,3,3,3,3,3,3
life support	3.00	3	3	1	7	3,3,3,3,3,3,3
respecting	3.00	3	3	1	8	3,3,3,3,3,3,3,3
greatly positive	3.00	3	3	1	8	3,3,3,3,3,3,3,3
valiant	3.00	3	3	1	8	3,3,3,3,3,3,3,3
sacrifices	3.00	3	3	1	6	3,3,3,3,3,3
darling	3.00	3	3	1	6	3,3,3,3,3,3
openheartedly	3.00	3	3	1	8	3,3,3,3,3,3,3,3
meet	3.00	3	3	1	8	3,3,3,3,3,3,3,3
good fun	3.00	3	3	1	8	3,3,3,3,3,3,3,3
kindest	3.00	3	3	1	8	3,3,3,3,3,3,3,3
honeybee	3.00	3	3	1	7	3,3,3,3,3,3,3
lovebirds	3.00	3	3	1	7	3,3,3,3,3,3,3
wedding reception	3.00	3	3	1	8	3,3,3,3,3,3,3,3
good will	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
vivaciously	3.00	3	3	1	7	3,3,3,3,3,3,3
joinable	3.00	3	3	1	7	3,3,3,3,3,3,3
dreamboat	3.00	3	3	1	7	3,3,3,3,3,3,3
supportive	3.00	3	3	1	8	3,3,3,3,3,3,3,3
hosannah	3.00	3	3	1	5	3,3,3,3,3
sheepdog	3.00	3	3	1	7	3,3,3,3,3,3,3
egalitarianism	3.00	3	3	1	8	3,3,3,3,3,3,3,3
cherishing	3.00	3	3	1	8	3,3,3,3,3,3,3,3
openheartedness	3.00	3	3	1	8	3,3,3,3,3,3,3,3
pep rally	3.00	3	3	1	8	3,3,3,3,3,3,3,3
rescue	3.00	3	3	1	8	3,3,3,3,3,3,3,3
worthy	3.00	3	3	1	7	3,3,3,3,3,3,3
lovable	3.00	3	3	1	7	3,3,3,3,3,3,3
forgiven	3.00	3	3	1	7	3,3,3,3,3,3,3
humanity	3.00	3	3	1	8	3,3,3,3,3,3,3,3
kindred spirit	3.00	3	3	1	8	3,3,3,3,3,3,3,3
fraternal	3.00	3	3	1	7	3,3,3,3,3,3,3
gleeful	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
love story	3.00	3	3	1	7	3,3,3,3,3,3,3
cheery	3.00	3	3	1	6	3,3,3,3,3,3
obliging	3.00	3	3	1	7	3,3,3,3,3,3,3
joyful	3.00	3	3	1	8	3,3,3,3,3,3,3,3
hawaiian	3.00	3	3	1	8	3,3,3,3,3,3,3,3
human right	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
revere	3.00	3	3	1	8	3,3,3,3,3,3,3,3
rely	3.00	3	3	1	8	3,3,3,3,3,3,3,3
playful	3.00	3	3	1	8	3,3,3,3,3,3,3,3
listener	3.00	3	3	1	8	3,3,3,3,3,3,3,3
choir	3.00	3	3	1	8	3,3,3,3,3,3,3,3
polite	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
angelic	3.00	3	3	1	8	3,3,3,3,3,3,3,3
healthful	3.00	3	3	1	7	3,3,3,3,3,3,3
christmas gift	3.00	3	3	1	7	3,3,3,3,3,3,3
toleration	3.00	3	3	1	7	3,3,3,3,3,3,3
heartfelt	3.00	3	3	1	7	3,3,3,3,3,3,3
inseparable	3.00	3	3	1	7	3,3,3,3,3,3,3
attentiveness	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
openness	3.00	3	3	1	7	3,3,3,3,3,3,3
bounciness	3.00	3	3	1	8	3,3,3,3,3,3,3,3
tranquil	3.00	3	3	1	7	3,3,3,3,3,3,3
devotedness	3.00	3	3	1	8	3,3,3,3,3,3,3,3
sympathies	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
yappy	3.00	3	3	1	6	3,3,3,3,3,3
concerned	3.00	3	3	1	8	3,3,3,3,3,3,3,3
befriend	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
national team	3.00	3	3	1	7	3,3,3,3,3,3,3
reunite	3.00	3	3	1	7	3,3,3,3,3,3,3
lifeisgood	3.00	3	3	1	7	3,3,3,3,3,3,3
bright spot	3.00	3	3	1	8	3,3,3,3,3,3,3,3
peaceable	3.00	3	3	1	7	3,3,3,3,3,3,3
donation	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
cordially	3.00	3	3	1	7	3,3,3,3,3,3,3
birthday present	3.00	3	3	1	8	3,3,3,3,3,3,3,3
soft spoken	3.00	3	3	1	6	3,3,3,3,3,3
healthiness	3.00	3	3	1	8	3,3,3,3,3,3,3,3
joviality	3.00	3	3	1	7	3,3,3,3,3,3,3
lovability	3.00	3	3	1	8	3,3,3,3,3,3,3,3
wave back	3.00	3	3	1	8	3,3,3,3,3,3,3,3
volunteer	3.00	3	3	1	8	3,3,3,3,3,3,3,3
newborn	3.00	3	3	1	8	3,3,3,3,3,3,3,3
honored	3.00	3	3	1	8	3,3,3,3,3,3,3,3
give	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
everybody	3.00	3	3	1	6	3,3,3,3,3,3
volunteering	3.00	3	3	1	8	3,3,3,3,3,3,3,3
kindhearted	3.00	3	3	1	7	3,3,3,3,3,3,3
significant other	3.00	3	3	1	8	3,3,3,3,3,3,3,3
helpfulness	3.00	3	3	1	8	3,3,3,3,3,3,3,3
congratulator	3.00	3	3	1	7	3,3,3,3,3,3,3
exhilarate	3.00	3	3	1	8	3,3,3,3,3,3,3,3
socialize	3.00	3	3	1	8	3,3,3,3,3,3,3,3
encouragement	3.00	3	3	1	8	3,3,3,3,3,3,3,3
candy	3.00	3	3	1	8	3,3,3,3,3,3,3,3
pleasantness	3.00	3	3	1	7	3,3,3,3,3,3,3
appreciation	3.00	3	3	1	8	3,3,3,3,3,3,3,3
felicitation	3.00	3	3	1	7	3,3,3,3,3,3,3
agree with	3.00	3	3	1	8	3,3,3,3,3,3,3,3
wonderfulness	3.00	3	3	1	6	3,3,3,3,3,3
hold dear	3.00	3	3	1	6	3,3,3,3,3,3
communality	3.00	3	3	1	8	3,3,3,3,3,3,3,3
liven	3.00	3	3	1	6	3,3,3,3,3,3
grace	3.00	3	3	1	9	3,3,3,3,3,3,3,3,3
