Word,Type,Letters,Syllables,K&F,ANEW,,Personal Use,,Familiarity,,Offensiveness,,Tabooness,,Valence,,Arousal,,Imageability,
,,,,Freq.,Valence,Arousal,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD
nigger,taboo,6,2,,,,"1,29","0,73","4,51","2,21","7,20","2,38","8,36","1,38","1,44","0,84","7,11","2,54","4,76","3,31"
buttfuck,taboo,8,2,,,,"1,43","1,04","2,84","1,64","5,11","2,81","7,89","1,53","2,43","1,40","5,43","2,68","3,73","2,76"
cocksucker,taboo,10,3,,,,"2,07","2,06","3,51","2,10","5,09","2,74","7,89","1,54","2,24","1,33","5,98","2,75","3,31","2,71"
motherfucker,taboo,12,4,,,,"3,33","2,58","5,82","2,41","4,73","2,68","7,58","1,74","1,89","1,01","5,98","2,55","1,84","1,52"
fuck,taboo,4,1,,,,"5,67","2,78","7,31","2,03","3,76","2,72","7,36","1,85","2,58","1,64","5,80","2,46","2,31","1,87"
fag,taboo,3,1,,,,"2,07","1,60","4,67","2,31","5,16","2,84","7,18","1,85","2,00","1,46","4,67","2,65","2,38","1,93"
cunt,taboo,4,1,,,,"1,73","1,25","3,61","1,91","5,09","2,81","7,14","2,36","2,27","1,69","5,09","2,84","3,07","2,56"
chink,taboo,5,1,,,,"1,27","0,87","2,77","2,08","5,18","2,79","6,75","2,62","2,73","2,14","4,25","2,68","3,50","2,86"
whore,taboo,5,1,2,"1,61","5,54","4,73","2,54","6,33","2,43","4,80","2,51","6,71","1,87","2,07","1,14","5,27","2,42","4,29","2,88"
blowjob,taboo,7,2,,,,"3,23","2,19","5,11","2,17","3,20","2,45","6,70","1,91","3,80","1,47","5,30","2,37","6,07","2,60"
pussy,taboo,5,2,,,,"2,89","1,97","5,36","2,52","4,64","2,67","6,62","2,11","2,78","1,52","5,64","2,20","4,42","2,99"
homo,taboo,4,2,,,,"2,16","1,77","5,47","2,29","4,56","2,50","6,60","1,91","2,47","1,16","4,82","2,48","3,20","2,82"
cock,taboo,4,1,,,,"2,59","1,88","4,80","2,27","3,30","2,21","6,55","2,05","3,55","1,27","5,07","2,28","6,20","2,77"
dick,taboo,4,1,,,,"4,45","2,52","5,95","2,36","2,95","1,84","6,52","2,21","3,43","1,50","4,95","2,45","6,27","2,68"
dyke,taboo,4,1,,,,"1,56","0,91","3,84","1,96","4,79","2,92","6,42","2,43","2,47","1,52","4,26","2,56","3,40","2,61"
clit,taboo,4,1,,,,"2,34","1,95","3,59","2,15","3,11","2,39","6,41","2,67","4,05","1,57","4,75","2,60","4,80","2,93"
slut,taboo,4,1,,,,"4,56","2,33","6,42","2,15","4,82","2,69","6,36","2,31","2,33","1,07","4,82","2,39","3,76","2,65"
masturbate,taboo,10,3,,"4,35","5,27","3,05","2,25","5,11","2,03","2,45","1,98","6,34","2,23","3,57","1,55","5,11","2,16","5,30","2,58"
dildo,taboo,5,2,,,,"2,31","1,84","4,00","2,42","2,69","2,24","6,33","2,26","3,87","1,42","5,49","2,33","6,51","2,55"
lesbo,taboo,5,2,,,,"2,00","1,48","4,00","2,26","4,02","2,65","6,11","2,08","2,70","1,21","3,86","2,36","3,32","2,58"
shithead,taboo,8,2,,,,"2,60","2,09","4,49","2,38","3,71","2,63","6,09","2,16","2,42","1,16","4,73","2,51","2,11","1,79"
bitch,taboo,5,1,,,,"5,30","2,48","7,05","1,87","4,86","2,57","6,07","2,20","2,20","1,37","5,32","2,30","2,68","2,02"
cum,taboo,3,1,,,,"3,20","2,19","4,82","2,41","2,44","1,96","6,00","2,20","4,09","1,22","4,69","2,21","5,24","3,03"
bastard,taboo,7,2,12,"3,44","5,94","3,69","2,39","5,31","2,04","3,24","2,17","5,71","2,14","2,47","1,06","4,38","2,12","2,16","2,00"
ejaculate,taboo,9,4,,,,"2,73","1,97","4,44","2,32","2,09","1,68","5,69","2,08","4,51","1,22","4,60","2,52","5,20","2,76"
boner,taboo,5,2,,,,"2,91","2,29","5,24","2,43","2,24","1,77","5,67","2,31","4,09","1,40","4,84","2,44","6,22","2,44"
skank,taboo,5,1,,,,"3,20","1,90","4,95","2,42","4,11","2,68","5,66","2,15","2,43","1,13","4,36","2,19","3,02","2,12"
shit,taboo,4,1,,,,"6,40","2,31","7,71","1,69","2,60","2,12","5,64","2,54","2,76","1,28","4,11","2,35","3,98","3,04"
retard,taboo,6,2,,,,"3,41","1,73","5,68","2,21","4,82","2,54","5,61","2,16","2,43","1,23","3,93","2,15","3,36","2,49"
orgasm,taboo,6,3,7,"8,19","8,27","4,05","2,28","5,67","2,37","1,70","1,51","5,60","2,35","6,56","1,75","5,40","2,49","4,12","2,99"
asshole,taboo,7,2,,,,"5,20","2,34","6,68","1,97","3,75","2,47","5,52","2,41","2,41","1,47","4,32","2,34","2,39","2,04"
penis,taboo,5,2,,"6,25","6,00","3,84","2,41","5,80","2,22","2,18","1,98","5,49","2,39","4,51","1,31","5,51","2,24","7,91","1,61"
tits,taboo,4,1,,,,"2,44","1,93","5,07","2,37","3,13","2,02","5,47","2,07","4,02","1,16","4,76","2,38","6,82","2,41"
horny,taboo,5,2,,,,"3,89","2,26","5,67","2,23","2,40","1,97","5,40","2,35","4,18","1,23","5,18","2,09","3,33","2,33"
queer,taboo,5,1,,,,"2,09","1,52","4,62","1,96","3,53","2,10","5,36","2,29","2,98","1,42","3,22","2,12","3,11","2,76"
hooker,taboo,6,2,,"2,32","4,00","3,02","1,94","4,89","2,32","3,30","2,68","5,34","2,37","2,61","1,39","4,11","2,09","6,66","2,52"
vibrator,taboo,8,3,,,,"2,38","1,72","3,84","1,91","2,20","1,67","5,33","2,53","4,24","1,26","4,76","2,41","6,24","2,55"
goddamn,taboo,7,2,,,,"4,36","2,44","5,51","2,32","2,87","2,38","5,29","2,61","3,00","1,21","3,96","2,51","1,40","1,29"
sodomize,taboo,8,3,,,,"1,73","1,50","2,95","2,12","3,18","2,84","5,20","2,81","2,64","1,45","4,52","2,87","3,07","2,75"
bullshit,taboo,8,2,,,,"5,39","2,30","6,64","2,15","2,27","2,08","5,18","2,42","2,70","1,37","4,27","2,33","1,98","1,97"
nutsack,taboo,7,2,,,,"1,52","1,15","2,93","1,80","2,86","2,00","5,18","2,48","3,64","1,28","4,02","2,50","5,14","2,99"
nipples,taboo,7,2,,,,"3,48","2,26","5,16","2,28","1,89","1,66","5,16","2,12","4,70","1,03","4,27","2,35","7,70","1,65"
gay,taboo,3,1,,,,"4,32","2,61","6,57","2,24","2,86","2,44","4,98","2,30","3,50","1,30","3,59","2,22","3,16","2,40"
ass,taboo,3,1,,,,"5,71","2,58","6,84","1,94","2,38","1,76","4,96","1,98","3,58","1,23","3,73","2,24","6,47","2,43"
rimjob,taboo,6,2,,,,"1,45","1,21","2,36","2,04","2,79","2,47","4,93","3,47","3,86","1,44","4,41","3,17","3,48","2,87"
anus,taboo,4,2,,,,"2,09","1,57","3,64","2,05","2,41","1,83","4,86","2,50","3,86","1,21","3,66","2,27","5,82","2,64"
fellatio,taboo,8,4,,,,"1,79","1,63","2,65","2,02","1,77","1,62","4,86","2,83","4,23","1,51","4,26","2,65","4,00","3,20"
scrotum,taboo,7,2,,,,"1,84","1,22","3,18","2,23","2,04","1,30","4,80","2,42","4,47","0,87","4,20","2,40","5,84","2,70"
vagina,taboo,6,3,10,"4,90","3,95","3,78","2,51","4,89","2,43","1,71","1,14","4,67","2,57","4,71","0,73","4,18","2,27","7,24","2,58"
hump,taboo,4,1,,,,"2,84","1,87","4,59","2,04","2,09","1,41","4,55","2,42","4,41","1,00","3,41","1,70","5,18","2,76"
piss,taboo,4,1,,,,"3,20","2,37","5,18","2,29","2,18","1,68","4,51","2,29","3,67","1,07","3,07","2,04","4,78","2,84"
castrate,taboo,8,2,,,,"2,30","1,92","3,39","1,96","2,20","1,90","4,48","2,65","2,86","1,80","3,59","2,48","4,16","2,72"
boobs,taboo,5,1,,,,"5,23","2,58","6,93","1,79","1,86","1,32","4,44","2,30","4,77","1,13","3,88","2,36","7,58","1,74"
